Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message,
13570,26,1,2,16,4,Pre-1950 Homes,Number,Borough,Borough,1,Bronx,2000,214703,,
13571,26,1,2,16,4,Pre-1950 Homes,Number,Borough,Borough,2,Brooklyn,2000,544649,,
13572,26,1,2,16,4,Pre-1950 Homes,Number,Borough,Borough,3,Manhattan,2000,438824,,
13573,26,1,2,16,4,Pre-1950 Homes,Number,Borough,Borough,4,Queens,2000,401821,,
13574,26,1,2,16,4,Pre-1950 Homes,Number,Borough,Borough,5,Staten Island,2000,42101,,
14100,27,1,5,16,4,Pre-1950 Homes,Percent,Borough,Borough,1,Bronx,2000,43.8,,
14101,27,1,5,16,4,Pre-1950 Homes,Percent,Borough,Borough,2,Brooklyn,2000,58.5,,
14102,27,1,5,16,4,Pre-1950 Homes,Percent,Borough,Borough,3,Manhattan,2000,55,,
14103,27,1,5,16,4,Pre-1950 Homes,Percent,Borough,Borough,4,Queens,2000,49.2,,
14104,27,1,5,16,4,Pre-1950 Homes,Percent,Borough,Borough,5,Staten Island,2000,25.7,,
13515,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),1,Mott Haven/Hunts Point,2000,15132,,
13516,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),2,Morrisania/East Tremont,2000,16966,,
13517,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),3,Highbridge/South Concourse,2000,23188,,
13518,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),4,University Heights/Fordham,2000,21546,,
13519,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),5,Kingsbridge Heights/Mosholu,2000,28749,,
13520,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),6,Riverdale/Kingsbridge,2000,19524,,
13521,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),7,Soundview/Parkchester,2000,29731,,
13522,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),8,Throgs Neck/Co-op City,2000,14291,,
13523,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),9,Pelham Parkway,2000,24322,,
13524,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),10,Williamsbridge/Baychester,2000,22582,,
13525,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),11,Williamsburg/Greenpoint,2000,34338,,
13526,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),12,Brooklyn Heights/Fort Greene,2000,36169,,
13527,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),13,Bedford Stuyvesant,2000,27294,,
13528,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),14,Bushwick,2000,22578,,
13529,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),15,East New York/Starret City,2000,19377,,
13530,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),16,Park Slope/Carroll Gardens,2000,41524,,
13531,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),17,Sunset Park,2000,33548,,
13532,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),18,N. Crown Heights/Prospect Heights,2000,31766,,
13533,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),19,South Crown Heights,2000,25427,,
13534,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),20,Bay Ridge,2000,36638,,
13535,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),21,Bensonhurst,2000,45015,,
13536,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),22,Borough Park,2000,34287,,
13537,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),23,Coney Island,2000,15939,,
13538,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),24,Flatbush,2000,38426,,
13539,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),25,Sheepshead Bay/Gravesend,2000,31074,,
13540,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),26,Brownsville/Ocean Hill,2000,14661,,
13541,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),27,East Flatbush,2000,30167,,
13542,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),28,Flatlands/Canarsie,2000,26421,,
13543,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),29,Greenwich Village/Financial District,2000,45858,,
13544,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),30,Lower East Side/Chinatown,2000,42153,,
13545,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),31,Chelsea/Clinton/Midtown,2000,44103,,
13546,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),32,Stuyvesant Town/Turtle Bay,2000,43219,,
13547,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),33,Upper West Side,2000,73879,,
13548,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),34,Upper East Side,2000,58079,,
13549,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),35,Morningside Heights/Hamilton Heights,2000,33776,,
13550,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),36,Central Harlem,2000,27863,,
13551,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),37,East Harlem,2000,16114,,
13552,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),38,Washington Heights/Inwood,2000,52452,,
13553,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),39,Astoria,2000,48148,,
13554,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),40,Sunnyside/Woodside,2000,28466,,
13555,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),41,Jackson Heights,2000,29655,,
13556,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),42,Elmhurst/Corona,2000,16562,,
13557,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),43,Middle Village/Ridgewood,2000,45156,,
13558,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),44,Forest Hills/Rego Park,2000,27151,,
13559,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),45,Flushing/Whitestone,2000,33609,,
13560,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),46,Hillcrest/Fresh Meadows,2000,25118,,
13561,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),47,Kew Gardens/Woodhaven,2000,31327,,
13562,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),48,Howard Beach/South Ozone Park,2000,20085,,
13563,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),49,Bayside/Little Neck,2000,19271,,
13564,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),50,Jamaica,2000,32828,,
13565,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),51,Bellerose/Rosedale,2000,31144,,
13566,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),52,Rockaways,2000,13301,,
13567,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),53,North Shore,2000,26606,,
13568,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),54,Mid Island,2000,8886,,
13569,26,2,2,16,4,Pre-1950 Homes,Number,Subboro,Neighborhood (subborough),55,South Shore,2000,6609,,
14045,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),1,Mott Haven/Hunts Point,2000,33.2,,
14046,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),2,Morrisania/East Tremont,2000,33.8,,
14047,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),3,Highbridge/South Concourse,2000,50.7,,
14048,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),4,University Heights/Fordham,2000,48.2,,
14049,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),5,Kingsbridge Heights/Mosholu,2000,60.6,,
14050,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),6,Riverdale/Kingsbridge,2000,41.3,,
14051,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),7,Soundview/Parkchester,2000,44.9,,
14052,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),8,Throgs Neck/Co-op City,2000,29.4,,
14053,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),9,Pelham Parkway,2000,51.9,,
14054,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),10,Williamsbridge/Baychester,2000,44.2,,
14055,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),11,Williamsburg/Greenpoint,2000,64.9,,
14056,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),12,Brooklyn Heights/Fort Greene,2000,68.7,,
14057,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),13,Bedford Stuyvesant,2000,55.9,,
14058,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),14,Bushwick,2000,57.4,,
14059,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),15,East New York/Starret City,2000,38.5,,
14060,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),16,Park Slope/Carroll Gardens,2000,83.4,,
14061,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),17,Sunset Park,2000,72.1,,
14062,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),18,N. Crown Heights/Prospect Heights,2000,62.5,,
14063,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),19,South Crown Heights,2000,60.9,,
14064,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),20,Bay Ridge,2000,70.3,,
14065,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),21,Bensonhurst,2000,68.7,,
14066,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),22,Borough Park,2000,67,,
14067,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),23,Coney Island,2000,33.1,,
14068,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),24,Flatbush,2000,65.4,,
14069,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),25,Sheepshead Bay/Gravesend,2000,52.2,,
14070,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),26,Brownsville/Ocean Hill,2000,34.8,,
14071,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),27,East Flatbush,2000,59,,
14072,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),28,Flatlands/Canarsie,2000,38.1,,
14073,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),29,Greenwich Village/Financial District,2000,62.1,,
14074,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),30,Lower East Side/Chinatown,2000,57.8,,
14075,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),31,Chelsea/Clinton/Midtown,2000,55.6,,
14076,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),32,Stuyvesant Town/Turtle Bay,2000,44.9,,
14077,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),33,Upper West Side,2000,65,,
14078,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),34,Upper East Side,2000,42.7,,
14079,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),35,Morningside Heights/Hamilton Heights,2000,66.1,,
14080,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),36,Central Harlem,2000,51.2,,
14081,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),37,East Harlem,2000,36.1,,
14082,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),38,Washington Heights/Inwood,2000,71.6,,
14083,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),39,Astoria,2000,61.7,,
14084,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),40,Sunnyside/Woodside,2000,56.3,,
14085,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),41,Jackson Heights,2000,51.5,,
14086,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),42,Elmhurst/Corona,2000,37,,
14087,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),43,Middle Village/Ridgewood,2000,68.9,,
14088,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),44,Forest Hills/Rego Park,2000,50.1,,
14089,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),45,Flushing/Whitestone,2000,36.4,,
14090,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),46,Hillcrest/Fresh Meadows,2000,44.5,,
14091,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),47,Kew Gardens/Woodhaven,2000,64.5,,
14092,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),48,Howard Beach/South Ozone Park,2000,46.9,,
14093,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),49,Bayside/Little Neck,2000,41.9,,
14094,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),50,Jamaica,2000,44.4,,
14095,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),51,Bellerose/Rosedale,2000,48,,
14096,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),52,Rockaways,2000,31.9,,
14097,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),53,North Shore,2000,43.6,,
14098,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),54,Mid Island,2000,18.6,,
14099,27,2,5,16,4,Pre-1950 Homes,Percent,Subboro,Neighborhood (subborough),55,South Shore,2000,11.9,,
13439,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2000,14782,,
13440,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2000,25010,,
13441,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2000,49818,,
13442,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2000,53298,,
13443,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2000,30086,,
13444,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2000,28503,,
13445,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2000,14534,,
