ZIP,ZIPtype,CityName,Stab,ZCTA,County
10001,S,New York,NY,10001,36061
10002,S,New York,NY,10002,36061
10003,S,New York,NY,10003,36061
10004,S,New York,NY,10004,36061
10005,S,New York,NY,10005,36061
10006,S,New York,NY,10006,36061
10007,S,New York,NY,10007,36061
10008,P,New York,NY,10007,36061
10009,S,New York,NY,10009,36061
10010,S,New York,NY,10010,36061
10011,S,New York,NY,10011,36061
10012,S,New York,NY,10012,36061
10013,S,New York,NY,10013,36061
10014,S,New York,NY,10014,36061
10016,S,New York,NY,10016,36061
10017,S,New York,NY,10017,36061
10018,S,New York,NY,10018,36061
10019,S,New York,NY,10019,36061
10020,S,New York,NY,10020,36061
10021,S,New York,NY,10021,36061
10022,S,New York,NY,10022,36061
10023,S,New York,NY,10023,36061
10024,S,New York,NY,10024,36061
10025,S,New York,NY,10025,36061
10026,S,New York,NY,10026,36061
10027,S,New York,NY,10027,36061
10028,S,New York,NY,10028,36061
10029,S,New York,NY,10029,36061
10030,S,New York,NY,10030,36061
10031,S,New York,NY,10031,36061
10032,S,New York,NY,10032,36061
10033,S,New York,NY,10033,36061
10034,S,New York,NY,10034,36061
10035,S,New York,NY,10035,36061
10036,S,New York,NY,10036,36061
10037,S,New York,NY,10037,36061
10038,S,New York,NY,10038,36061
10039,S,New York,NY,10039,36061
10040,S,New York,NY,10040,36061
10041,S,New York,NY,10004,36061
10043,U,New York,NY,10005,36061
10044,S,New York,NY,10044,36061
10045,S,New York,NY,10038,36061
10055,S,New York,NY,10003,36061
10060,S,New York,NY,10001,36061
10065,S,New York,NY,10065,36061
10069,S,New York,NY,10069,36061
10075,S,New York,NY,10075,36061
10080,U,New York,NY,10280,36061
10081,U,New York,NY,10005,36061
10087,U,New York,NY,10017,36061
10090,S,New York,NY,10018,36061
10095,S,New York,NY,10001,36061
10101,P,New York,NY,10019,36061
10102,U,New York,NY,10019,36061
10103,S,New York,NY,10103,36061
10104,S,New York,NY,10019,36061
10105,S,New York,NY,10019,36061
10106,S,New York,NY,10019,36061
10107,S,New York,NY,10019,36061
10108,P,New York,NY,10036,36061
10109,U,New York,NY,10036,36061
10110,S,New York,NY,10110,36061
10111,S,New York,NY,10111,36061
10112,S,New York,NY,10112,36061
10113,P,New York,NY,10011,36061
10114,U,New York,NY,10003,36061
10115,S,New York,NY,10115,36061
10116,P,New York,NY,10027,36061
10117,U,New York,NY,10001,36061
10118,S,New York,NY,10016,36061
10119,S,New York,NY,10119,36061
10120,S,New York,NY,10001,36061
10121,S,New York,NY,10001,36061
10122,S,New York,NY,10001,36061
10123,S,New York,NY,10001,36061
10124,U,New York,NY,10022,36061
10125,U,New York,NY,10001,36061
10126,U,New York,NY,10022,36061
10128,S,New York,NY,10128,36061
10129,P,New York,NY,10018,36061
10130,U,New York,NY,10001,36061
10131,U,New York,NY,10021,36061
10132,U,New York,NY,10024,36061
10133,U,New York,NY,10023,36061
10138,U,New York,NY,10016,36061
10150,P,New York,NY,10022,36061
10151,S,New York,NY,10022,36061
10152,S,New York,NY,10152,36061
10153,S,New York,NY,10153,36061
10154,S,New York,NY,10154,36061
10155,S,New York,NY,10022,36061
10156,P,New York,NY,10016,36061
10157,U,New York,NY,10016,36061
10158,S,New York,NY,10016,36061
10159,P,New York,NY,10010,36061
10160,U,New York,NY,10010,36061
10161,S,New York,NY,10011,36061
10162,S,New York,NY,10162,36061
10163,P,New York,NY,10017,36061
10164,U,New York,NY,10017,36061
10165,S,New York,NY,10165,36061
10166,S,New York,NY,10017,36061
10167,S,New York,NY,10167,36061
10168,S,New York,NY,10168,36061
10169,S,New York,NY,10169,36061
10170,S,New York,NY,10170,36061
10171,S,New York,NY,10171,36061
10172,S,New York,NY,10172,36061
10173,S,New York,NY,10173,36061
10174,S,New York,NY,10174,36061
10175,S,New York,NY,10017,36061
10176,S,New York,NY,10036,36061
